Base_LAD
11 de agosto de 2022 - 12 de novembro de 2025
Campanha,Tipo de campanha,Dia,Código da moeda,Custo,Conversões,Todas as conv.
red balloon | 2023 | pmax | rj | mkt4,Performance Max,2022-12-09,BRL,"10,31","0,00","0,00"
red balloon | 2023 | pmax | am | mkt4,Performance Max,2022-12-09,BRL,"48,07","1,00","1,00"
red balloon | 2023 | pmax | ce | mkt4,Performance Max,2022-12-09,BRL,"14,02","0,00","0,00"
red balloon | 2023 | pmax | mg | mkt4,Performance Max,2022-12-09,BRL,"52,81","0,00","0,00"
red balloon | 2023 | pmax | ba | mkt4,Performance Max,2022-12-09,BRL,"45,81","0,00","0,00"
red balloon | 2023 | pmax | pe | mkt4,Performance Max,2022-12-09,BRL,"32,57","0,00","0,00"
red balloon | 2023 | pmax | rs | mkt4,Performance Max,2022-12-09,BRL,"46,00","0,00","0,00"
red balloon | 2023 | pmax | pr | mkt4,Performance Max,2022-12-09,BRL,"14,16","0,00","0,00"
red balloon | 2023 | pmax | go | mkt4,Performance Max,2022-12-09,BRL,"0,30","0,00","0,00"
red balloon | 2023 | pmax | df | mkt4,Performance Max,2022-12-09,BRL,"36,42","0,00","0,00"
red balloon | 2023 | pmax | mt | mkt4,Performance Max,2022-12-09,BRL,"50,69","2,00","2,00"
red balloon | 2023 | pmax | ms | mkt4,Performance Max,2022-12-09,BRL,"48,50","0,00","0,00"
red balloon | 2023 | pesquisa | sp capital | mkt4,Pesquisa,2022-12-10,BRL,"51,65","2,00","2,00"
red balloon | 2023 | pesquisa | mt | mkt4,Pesquisa,2022-12-10,BRL,"22,40","1,00","1,00"
red balloon | 2023 | pesquisa | df | mkt4,Pesquisa,2022-12-10,BRL,"24,41","0,00","0,00"
red balloon | 2023 | pesquisa | sp interior | mkt4,Pesquisa,2022-12-10,BRL,"89,92","1,00","1,00"
red balloon | 2023 | pesquisa | am | mkt4,Pesquisa,2022-12-10,BRL,"21,37","2,00","2,00"
red balloon | 2023 | pesquisa | rj | mkt4,Pesquisa,2022-12-10,BRL,"34,21","0,00","0,00"
red balloon | 2023 | pesquisa | pe | mkt4,Pesquisa,2022-12-10,BRL,"21,95","0,00","0,00"
red balloon | 2023 | pesquisa | mg | mkt4,Pesquisa,2022-12-10,BRL,"25,21","0,00","0,00"
red balloon | 2023 | pesquisa | ba | mkt4,Pesquisa,2022-12-10,BRL,"29,39","0,00","0,00"
red balloon | 2023 | pesquisa | ce | mkt4,Pesquisa,2022-12-10,BRL,"32,98","0,00","0,00"
red balloon | 2023 | pesquisa | rs | mkt4,Pesquisa,2022-12-10,BRL,"28,80","1,00","1,00"
red balloon | 2023 | pesquisa | pr | mkt4,Pesquisa,2022-12-10,BRL,"39,77","1,00","1,00"
red balloon | 2023 | pesquisa | go | mkt4,Pesquisa,2022-12-10,BRL,"30,07","0,00","0,00"
red balloon | 2023 | pesquisa | ms | mkt4,Pesquisa,2022-12-10,BRL,"29,12","0,00","0,00"
red balloon | 2023 | youtube | sp capital | mkt4,Vídeo,2022-12-10,BRL,"56,50","0,00","0,00"
red balloon | 2023 | youtube | rj | mkt4,Vídeo,2022-12-10,BRL,"30,11","0,00","0,00"
red balloon | 2023 | youtube | ce | mkt4,Vídeo,2022-12-10,BRL,"26,98","0,00","0,00"
red balloon | 2023 | youtube | pe | mkt4,Vídeo,2022-12-10,BRL,"25,66","0,00","0,00"
red balloon | 2023 | youtube | rs | mkt4,Vídeo,2022-12-10,BRL,"0,00","0,00","0,00"
red balloon | 2023 | youtube | pr | mkt4,Vídeo,2022-12-10,BRL,"28,76","0,00","0,00"
red balloon | 2023 | youtube | mt | mkt4,Vídeo,2022-12-10,BRL,"26,80","0,00","0,00"
red balloon | 2023 | youtube | ms | mkt4,Vídeo,2022-12-10,BRL,"25,98","0,00","0,00"
red balloon | 2023 | youtube | sp interior | mkt4,Vídeo,2022-12-10,BRL,"59,46","0,00","0,00"
red balloon | 2023 | youtube | am | mkt4,Vídeo,2022-12-10,BRL,"28,70","0,00","0,00"
red balloon | 2023 | youtube | mg | mkt4,Vídeo,2022-12-10,BRL,"27,22","0,00","0,00"
red balloon | 2023 | youtube | ba | mkt4,Vídeo,2022-12-10,BRL,"35,45","0,00","0,00"
red balloon | 2023 | youtube | go | mkt4,Vídeo,2022-12-10,BRL,"28,89","0,00","0,00"
red balloon | 2023 | youtube | df | mkt4,Vídeo,2022-12-10,BRL,"27,17","0,00","0,00"
red balloon | 2023 | discovery remarketing | sp | mkt4,Geração de demanda,2022-12-10,BRL,"35,12","0,00","0,00"
red balloon | 2023 | discovery remarketing | br | mkt4,Geração de demanda,2022-12-10,BRL,"18,77","1,00","1,00"
red balloon | 2023 | youtube remarketing | sp | mkt4,Vídeo,2022-12-10,BRL,"99,77","0,00","0,00"
red balloon | 2023 | youtube remarketing | br | mkt4,Vídeo,2022-12-10,BRL,"0,23","0,00","0,00"
red balloon | 2023 | display remarketing | br | mkt4,Display,2022-12-10,BRL,"29,13","0,00","0,00"
red balloon | 2023 | display remarketing | sp | mkt4,Display,2022-12-10,BRL,"17,03","0,00","0,00"
red balloon | 2023 | pmax | sp capital | mkt4,Performance Max,2022-12-10,BRL,"61,82","0,00","0,00"
red balloon | 2023 | pmax | sp interior | mkt4,Performance Max,2022-12-10,BRL,"68,95","5,00","5,00"
red balloon | 2023 | pmax | rj | mkt4,Performance Max,2022-12-10,BRL,"45,36","1,00","1,00"
